DateCollared,DateDrilled,Ring,Hole,Rods,ActualLength,RigName
24/9/20 0:38,24/9/20 1:14,R2,H3,7.599999905,13.69999981,RIG 1
24/9/20 1:24,24/9/20 1:58,R2,H4,8.100000381,14.5,RIG 1
24/9/20 2:07,24/9/20 2:41,R2,H5-rev,8.199999809,14.80000019,RIG 1
24/9/20 2:52,24/9/20 3:27,R3,H5,8.199999809,14.60000038,RIG 1
24/9/20 3:37,24/9/20 4:28,R3,H4,8.199999809,14.69999981,RIG 1
24/9/20 4:38,24/9/20 5:11,R3,H3,7.800000191,14,RIG 1
24/9/20 6:35,24/9/20 7:09,R3,H2,7.400000095,13.19999981,RIG 1
24/9/20 7:15,24/9/20 7:47,R3,H1,7,12.60000038,RIG 1
24/9/20 7:53,24/9/20 8:21,R4,H5,8.199999809,14.80000019,RIG 1
24/9/20 8:38,24/9/20 11:32,R4,H2,7.300000191,13.10000038,RIG 1
24/9/20 11:35,24/9/20 12:12,R4,H1-rev,7.099999905,12.60000038,RIG 1
24/9/20 12:22,24/9/20 12:54,R4,H3,7.800000191,14,RIG 1
24/9/20 13:14,24/9/20 14:48,R4,H4,8.199999809,14.60000038,RIG 1
24/9/20 15:17,24/9/20 15:17,R5,H11,1.700000048,3,RIG 1
24/9/20 15:18,24/9/20 15:38,R5,H10,4.800000191,8.5,RIG 1
24/9/20 15:43,24/9/20 16:11,R5,H9,5.800000191,10.39999962,RIG 1
24/9/20 16:18,24/9/20 16:49,R5,H8,7.400000095,13.19999981,RIG 1
24/9/20 16:55,24/9/20 17:40,R5,H7,8.300000191,14.89999962,RIG 1
24/9/20 17:52,24/9/20 18:37,R5,H6,8.899999619,15.89999962,RIG 1
24/9/20 18:49,24/9/20 19:24,R5,H5,6.099999905,10.89999962,RIG 1
24/9/20 19:28,24/9/20 19:50,R5,H4,4.5,8,RIG 1
24/9/20 19:53,24/9/20 20:09,R5,H1,3.200000048,5.699999809,RIG 1
24/9/20 20:13,24/9/20 20:30,R5,H2,3.200000048,5.699999809,RIG 1
24/9/20 20:33,24/9/20 23:23,R5,H3,3.599999905,6.400000095,RIG 1
24/9/20 23:33,24/9/20 23:34,R6,H15,2.200000048,3.900000095,RIG 1
24/9/20 23:47,25/9/20 0:16,R6,H14,5.199999809,9.199999809,RIG 1
25/9/20 0:17,25/9/20 0:45,R6,H13,6.400000095,11.5,RIG 1
25/9/20 0:49,25/9/20 1:21,R6,H12,8.100000381,14.60000038,RIG 1
25/9/20 1:27,25/9/20 2:08,R6,H11,8.899999619,15.89999962,RIG 1
25/9/20 2:20,25/9/20 2:57,R6,H10,9.5,17,RIG 1
25/9/20 3:00,25/9/20 3:40,R6,H9,10.19999981,18.29999924,RIG 1
25/9/20 3:50,25/9/20 4:42,R6,H8,11.39999962,20.39999962,RIG 1
25/9/20 4:53,25/9/20 5:45,R6,H7,11.60000038,20.79999924,RIG 1
25/9/20 5:56,25/9/20 15:20,R6,H6,10.89999962,19.5,RIG 1
25/9/20 15:36,25/9/20 16:14,R6,H5,10.10000038,18.10000038,RIG 1
25/9/20 16:28,25/9/20 16:58,R6,H1,7.400000095,13.30000019,RIG 1
25/9/20 17:24,25/9/20 17:39,R6,H2,7.800000191,14,RIG 1
25/9/20 17:47,25/9/20 18:32,R6,H3,8.600000381,15.30000019,RIG 1
25/9/20 18:45,25/9/20 20:00,R6,H4,9.399999619,16.79999924,RIG 1
25/9/20 20:03,25/9/20 20:14,R7,H15,2.299999952,4,RIG 1
25/9/20 20:16,26/9/20 0:50,R7,H1,7.400000095,13.30000019,RIG 1
26/9/20 1:05,26/9/20 1:27,R7,H14,5.300000191,9.399999619,RIG 1
26/9/20 1:32,26/9/20 1:57,R7,H12,6.699999809,12,RIG 1
26/9/20 2:02,26/9/20 2:37,R7,H11,8.399999619,15,RIG 1
26/9/20 2:43,26/9/20 3:16,R7,H10,9.199999809,16.60000038,RIG 1
