Drive,Ring,Hole,Collar Error,Alignment Error,In-Hole Error,Toe Error
Drive 1,R2,H3,0.3%,1.4%,1.7%,3.4%
Drive 1,R2,H4,0.6%,1.1%,1.3%,2.9%
Drive 1,R2,H5-rev,0.5%,1.2%,1.5%,3.2%
Drive 1,R3,H5,0.5%,1.3%,1.5%,3.3%
Drive 1,R3,H4,0.7%,1.2%,1.5%,3.4%
Drive 1,R3,H3,0.7%,1.3%,1.6%,3.6%
Drive 1,R3,H2,0.6%,1.2%,1.7%,3.5%
Drive 1,R3,H1,0.6%,1.0%,1.5%,3.2%
Drive 1,R4,H5,0.5%,1.0%,1.3%,2.8%
Drive 1,R4,H2,0.8%,1.1%,1.8%,3.7%
Drive 1,R4,H1-rev,0.2%,1.2%,1.6%,3.0%
Drive 1,R4,H3,0.3%,1.2%,1.7%,3.2%
Drive 1,R4,H4,0.6%,1.2%,1.7%,3.6%
Drive 1,R5,H11,0.4%,1.2%,1.4%,2.9%
Drive 1,R5,H10,0.6%,1.2%,1.9%,3.7%
Drive 1,R5,H9,0.7%,1.3%,1.3%,3.4%
Drive 1,R5,H8,0.4%,1.4%,1.5%,3.3%
Drive 1,R5,H7,0.7%,1.3%,1.7%,3.6%
Drive 1,R5,H6,0.5%,1.2%,1.5%,3.2%
Drive 1,R5,H5,0.9%,1.3%,1.2%,3.4%
Drive 1,R5,H4,0.5%,1.2%,1.6%,3.4%
Drive 1,R5,H1,0.7%,1.1%,1.4%,3.3%
Drive 1,R5,H2,0.5%,1.2%,1.7%,3.3%
Drive 1,R5,H3,0.5%,1.1%,1.5%,3.0%
Drive 1,R6,H15,0.5%,1.2%,1.4%,3.0%
Drive 1,R6,H14,0.3%,1.1%,1.6%,3.1%
Drive 1,R6,H13,0.6%,1.1%,1.6%,3.3%
Drive 1,R6,H12,0.6%,1.1%,1.7%,3.4%
Drive 1,R6,H11,0.1%,1.2%,1.7%,3.0%
Drive 1,R6,H10,0.4%,1.3%,1.4%,3.1%
Drive 1,R6,H9,0.7%,1.2%,1.4%,3.3%
Drive 1,R6,H8,0.5%,1.3%,2.0%,3.7%
Drive 1,R6,H7,0.7%,1.2%,1.7%,3.6%
Drive 1,R6,H6,0.8%,1.4%,1.4%,3.6%
Drive 1,R6,H5,0.8%,1.1%,1.7%,3.6%
Drive 1,R6,H1,0.6%,1.4%,1.5%,3.4%
Drive 1,R6,H2,0.7%,1.3%,1.6%,3.6%
Drive 1,R6,H3,0.5%,1.2%,1.4%,3.0%
Drive 1,R6,H4,0.3%,1.3%,2.0%,3.7%
Drive 1,R7,H15,0.6%,1.1%,1.7%,3.3%
Drive 1,R7,H1,0.5%,1.3%,1.7%,3.4%
Drive 1,R7,H14,0.4%,1.1%,1.8%,3.3%
Drive 1,R7,H12,0.5%,1.3%,1.4%,3.3%
Drive 1,R7,H11,0.6%,1.2%,1.6%,3.5%
Drive 1,R7,H10,0.5%,1.1%,1.5%,3.1%
Drive 1,R7,H9,0.6%,1.2%,1.4%,3.2%
Drive 1,R7,H8,0.1%,1.1%,1.8%,3.0%
Drive 1,R7,H7,0.9%,1.3%,1.9%,4.0%
Drive 1,R7,H6,0.3%,1.1%,1.5%,3.0%
Drive 1,R7,H2,1.2%,1.1%,1.7%,4.0%
Drive 1,R7,H3,0.5%,1.1%,1.7%,3.2%
Drive 1,R7,H5,0.6%,1.1%,1.3%,3.0%
Drive 1,R7,H4,0.8%,1.3%,1.6%,3.7%
Drive 1,R8,H15,0.6%,1.3%,1.7%,3.5%
Drive 1,R8,H14,0.6%,1.2%,1.7%,3.5%
Drive 1,R8,H13,0.5%,1.1%,1.5%,3.1%
Drive 1,R8,H12,0.8%,1.3%,1.5%,3.6%
Drive 1,R8,H11,0.3%,1.3%,1.7%,3.4%
Drive 1,R8,H10,0.9%,1.3%,1.2%,3.4%
Drive 1,R8,H9,0.6%,1.2%,1.4%,3.2%
Drive 1,R8,H8,0.1%,1.5%,1.7%,3.4%
Drive 1,R8,H7,0.8%,1.2%,1.7%,3.7%
Drive 1,R8,H6,0.6%,1.2%,2.1%,3.9%
Drive 1,R8,H5,0.6%,1.1%,1.6%,3.3%
Drive 1,R8,H4,0.7%,1.1%,1.7%,3.5%
Drive 1,R8,H3,0.4%,1.2%,1.7%,3.4%
Drive 1,R8,H2,0.5%,1.3%,1.9%,3.6%
Drive 1,R8,H1,0.3%,1.2%,1.7%,3.2%
Drive 1,R9,H15,0.4%,1.2%,1.7%,3.4%
Drive 1,R9,H14,0.5%,1.3%,1.3%,3.0%
Drive 1,R9,H13,0.5%,1.2%,1.8%,3.4%
Drive 1,R9,H12,0.5%,1.3%,1.3%,3.1%
Drive 1,R9,H11,0.7%,1.1%,1.8%,3.6%
Drive 1,R9,H10,0.2%,1.3%,1.6%,3.1%
Drive 1,R9,H9,0.5%,1.2%,1.5%,3.2%
Drive 1,R9,H8-rev,0.4%,1.2%,1.4%,2.9%
Drive 1,R9,H7,0.6%,1.3%,1.6%,3.5%
Drive 1,R9,H6,0.5%,1.3%,1.6%,3.5%
Drive 1,R9,H5,0.5%,1.1%,1.4%,3.1%
Drive 1,R9,H4,0.5%,1.2%,1.6%,3.2%
Drive 1,R9,H3,0.2%,1.4%,1.4%,3.0%
Drive 1,R9,H2,0.3%,1.2%,1.4%,2.9%
Drive 1,R9,H1,0.4%,1.2%,1.5%,3.0%
Drive 1,R10,H15,0.3%,1.2%,1.3%,2.8%
Drive 1,R10,H14,0.7%,1.2%,1.2%,3.1%
Drive 1,R10,H13,0.3%,1.1%,1.4%,2.9%
Drive 1,R10,H12,0.1%,1.2%,1.7%,3.0%
Drive 1,R10,H11,0.7%,1.2%,1.2%,3.2%
Drive 1,R10,H10,0.2%,1.1%,1.7%,3.0%
Drive 1,R10,H9,0.3%,1.2%,1.5%,3.0%
Drive 1,R10,H8,0.3%,1.0%,1.4%,2.7%
Drive 1,R10,H7,0.6%,1.3%,1.5%,3.4%
Drive 1,R10,H6-rev,0.2%,1.2%,1.7%,3.1%
Drive 1,R10,H5,0.6%,1.1%,1.7%,3.5%
Drive 1,R10,H4,0.5%,1.2%,1.5%,3.2%
Drive 1,R10,H3,0.6%,1.1%,1.5%,3.2%
Drive 1,R10,H2,0.3%,1.1%,1.5%,2.8%
Drive 1,R10,H1,0.7%,1.3%,1.6%,3.6%
Drive 1,R11,H15,0.5%,1.3%,1.7%,3.5%
Drive 1,R11,H14,0.6%,1.4%,2.1%,4.2%
Drive 1,R11,H13,0.4%,1.1%,1.4%,2.9%
Drive 1,R11,H12,0.4%,1.2%,1.9%,3.4%
Drive 1,R11,H11,0.4%,1.2%,1.6%,3.2%
Drive 1,R11,H10,0.3%,1.2%,1.7%,3.2%
Drive 1,R11,H9,0.5%,1.1%,1.8%,3.4%
Drive 1,R11,H1,0.2%,1.1%,1.6%,2.9%
Drive 1,R11,H6,0.4%,1.2%,1.6%,3.2%
Drive 1,R11,H8,0.5%,1.1%,1.5%,3.1%
Drive 1,R11,H7,0.7%,1.2%,1.7%,3.6%
Drive 1,R11,H5,0.6%,1.1%,1.6%,3.3%
Drive 1,R11,H4,0.4%,1.2%,1.6%,3.2%
Drive 1,R11,H3,0.9%,1.2%,1.7%,3.8%
